name,url,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
沸腾夜话(和平里店) 分店,/shop/4195369,火锅,东城区和平里中街8号 84221898,其他火锅 和平里,冷锅鱼 虾滑 鸭血,68,8,8.4,8.2,348,116.43021,39.96326
古氏疯狂抄手(西单店) 分店,/shop/2759824,小吃快餐,西城区西单大秤钩胡同丙11号 18901127311,其他小吃 西单,麻辣抄手 清汤抄手 微辣抄手,15,7.6,5.3,6.8,347,116.3829,39.916084
呷哺呷哺(广安门华联店) 分店,/shop/566826,火锅,西城区广安门外大街158号华联商厦2楼 ,其他火锅 广外大街,麻酱 豆皮 肥牛,37,8.2,7.6,7.6,347,116.34415,39.895195
松本楼日式烧肉(晶品店) 分店,/shop/6010495,日本,海淀区复兴路51号凯德晶品购物中心5楼 68260805,日式烧烤/铁板烧 公主坟/万寿路,三文鱼 厚切牛舌 牛小排,218,8.5,8.8,8.4,346,116.30389,39.914055
眉州东坡酒楼(北苑店) 分店,/shop/4285670,川菜,朝阳区北苑家园春华秋实街1一号易世达5楼 59683335,川菜 婚宴酒店 北苑家园,东坡肘子 担担面 梅菜扣肉,71,8.6,8.3,8.3,346,116.424835,40.048794
圆缘涮肉房(鲁谷店) 分店,/shop/1966750,火锅,石景山区鲁谷路33-9号 68656815,涮羊肉 鲁谷,涮羊肉 毛肚 炸烧饼,62,8.2,6.5,6.7,345,116.23633,39.90988
顺天府,/shop/512161,北京菜,朝阳区花家地街花家地北里1号楼商业楼 64735017,家常菜 婚宴酒店 望京,蛋黄焗南瓜 凉菜木耳 干煸豆角,33,7,6.6,6.1,345,116.47388,39.992664
烧肉人,/shop/4219743,小吃快餐,西城区旧鼓楼大街138号 64037626,烧烤 什刹海,牛小排 五花肉 牛舌,119,8.6,8.5,8.5,344,116.4005,39.949646
面爱面(长椿街店) 分店,/shop/508157,小吃快餐,西城区宣武门长椿街甲7号 83121743,快餐/简餐 牛街,骨汤拉面 红豆汤 面爱面,34,7.2,7.3,7.1,344,116.36961,39.90396
玫瑰花园自助烤肉(金源店) 分店,/shop/14153025,自助餐,海淀区远大路世纪金源北侧居然之家3楼 57128799,自助餐 远大路,培根 大虾 美国肥牛,57,9,9.1,9.1,344,116.295456,39.966
此时此刻比萨(航天桥店) 分店,/shop/2418832,西餐,海淀区阜成路北三街23号 68988889,比萨 航天桥,PIZZA 鸡翅 金枪鱼沙拉,40,6.2,6.7,6.4,344,116.3231,39.932133
经典上海小笼汤包,/shop/2826115,小吃快餐,朝阳区三里屯路19号三里屯Village北口 64130957,包子 三里屯,鲜肉小笼 蟹粉小笼 小笼包,44,7.3,6.4,6.2,343,116.46104,39.941685
金汤玉线(望京凯德MALL店) 分店,/shop/2231482,小吃快餐,朝阳区广顺北大街33号凯德MALL购物中心B1楼04铺 64717742,粉面馆 望京,招牌过桥米线 过桥米线 状元过桥米线,32,7.4,6.8,6.5,343,116.475494,39.998707
和合谷(新中关店) 分店,/shop/1997872,小吃快餐,海淀区中关村大街19号新中关购物中心B1楼 82486061,快餐/简餐 中关村,宫保鸡丁饭 鸡肉饭 东坡饭,23,7.8,7.7,7.9,343,116.3212,39.98426
