name,url,id,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
王老头炒货(玉蜓桥店) 分店,/shop/559728,559728,小吃快餐,东城区天坛东路77号 67022924,零食 食品茶酒 天坛,糖炒栗子 瓜子 开心果,25,8.9,6.7,7.4,774,116.42729,39.880474
花家怡园(国展店) 分店,/shop/508533,508533,北京菜,朝阳区静安里党校路3号 51283319,家常菜 婚宴酒店 左家庄,霸王鸡 花家白菜 烤鸭,97,8.1,8.4,8.3,774,116.4536,39.964546
鼓楼麻辣香锅(东大街店) 分店,/shop/2039869,2039869,川菜,西城区鼓楼东大街220号 13121398956,香锅 地安门 什刹海,麻辣香锅 青笋 金针菇,63,7.9,6.5,6.9,772,116.405205,39.946957
比格比萨(阜成门阳光店) 分店,/shop/2003104,2003104,自助餐,西城区阜成门外大街丙3号东润时代大厦2楼 68006478,比萨 自助餐 阜成门,鸡翅 比萨 鸡肉串,54,6.8,7.1,6.7,771,116.359726,39.929905
香妃烤鸡(缸瓦市店) 分店,/shop/511634,511634,小吃快餐,西城区西单北大街31号 66510659,快餐/简餐 西单,烤鸡 泡菜 烧饼,23,8.5,7.6,7.3,768,116.37999,39.923496
西贝西北菜(金源店) 分店,/shop/5378853,5378853,西北菜,海淀区远大路1号金源时代购物中心651号商铺 88866838,西北菜 婚宴酒店 远大路,自制酸奶 功夫鱼 面筋,83,9.3,9.1,9.3,765,116.2945,39.965466
力力豆花庄,/shop/508809,508809,川菜,东城区广渠门外大街27号 67718392,川菜 广渠门,宫保鸡丁 豆花 招牌白菜,67,8.4,7.6,7.8,764,116.45658,39.89973
康师傅私房牛肉面(真武庙店) 分店,/shop/2043571,2043571,小吃快餐,西城区真武庙头条1号 68012545,粉面馆 复兴门,牛肉面 私房养生牛肉面 牛三宝面,37,7.6,7.9,7.8,761,116.358826,39.912533
大渔铁板烧(万柳中路店) 分店,/shop/562020,562020,日本,海淀区万柳中路15号 82566044,日式烧烤/铁板烧 日式自助 苏州桥,鳕鱼 扇贝 北极贝,186,8,7.6,7.7,761,116.30346,39.9727
汉堡王(悠唐店) 分店,/shop/4120511,4120511,西餐,朝阳区三丰北里2号楼悠唐生活广场1-2楼F2-049号铺 85628977,西式简餐 朝外大街,皇堡 薯条 培根芝士皇堡,30,9,8.8,8.9,760,116.44677,39.928024
白魁老号饭庄(隆福广场总店) 分店,/shop/508583,508583,小吃快餐,东城区隆福广场前街1号 84012373,老北京小吃 清真菜 东四,奶油炸糕 烧羊肉 杂碎汤,36,7.4,6.2,5.7,760,116.42088,39.931442
翼栈餐吧,/shop/2373556,2373556,川菜,东城区北新桥头条30号 64010979,川菜 婚宴酒店 东直门,江湖一锅鱼 酸奶酒 动感双菇,87,7.4,8.2,7.5,759,116.426605,39.947647
素虎净素餐厅,/shop/2950909,2950909,素菜,海淀区双清路88号华源世纪商务楼2楼 82527078,素菜 五道口,蓝莓山药 酱爆田螺 浓汤全菌锅,61,8.7,8.8,8.9,758,116.34158,40.00194
没名儿生煎(北大店) 分店,/shop/5247578,5247578,小吃快餐,海淀区颐和园路8号畅春园美食街A15号 4008965880,其他小吃 中关村,生煎包 小笼汤包 雞絲涼麵,18,8.6,8,8.3,755,116.3104,40.000042
贵州酸汤鱼(魏公村店) (暂停营业),/shop/2372623,2372623,火锅 贵州菜,海淀区中关村南大街11号百花商业A座 88510316,其他火锅 贵州菜 魏公村,酸汤鱼 乌江鱼 米豆腐,54,5.2,4.3,5.4,755,116.32957,39.962288
比格比萨(搜秀店) 分店,/shop/2257885,2257885,自助餐,东城区崇文门外大街40号搜秀商城2楼 51671181,比萨 自助餐 崇文门,鸡翅 PIZZA 黄桃,52,6.7,7.1,6.9,755,116.42751,39.900867
四川饭店,/shop/4226589,4226589,川菜,西城区新街口北大街3号楼星街坊购物中心1楼 83225559,川菜 新街口,宫保鸡丁 麻婆豆腐 烤鸭,104,8.3,8.9,8.5,750,116.378296,39.951805
卤煮店,/shop/513454,513454,小吃快餐,东城区东四北大街442号 64043686,老北京小吃 东四,卤煮火烧 卤煮 灌肠,20,8,6.1,6.2,750,116.42396,39.933365
锅色天香(西直门店) 分店,/shop/2037226,2037226,火锅,西城区西直门外大街6号中仪大厦 88316198,其他火锅 西直门/动物园,虾滑 牛羊拼盘 蔬菜拼盘,82,8.1,8.6,8.4,749,116.35957,39.945385
阿凡提 (暂停营业),/shop/507551,507551,新疆菜,东城区朝阳门内大街188号后拐棒胡同甲2号 65272288,婚宴酒店 新疆菜 朝阳门,特色:羊肉串??大盘鸡??柠檬牛肉,134,7.4,8.1,7.5,749,116.431435,39.92956
眉州东坡酒楼(亦庄店) 分店,/shop/3276043,3276043,川菜,大兴区亦庄经济开发区宏达北路18号大地商务楼1楼 59683399,川菜 婚宴酒店 亦庄,东坡肘子 东坡肉 担担面,76,8.6,8.6,8.2,746,116.51756,39.803776
早春二月(建外SOHO店) 分店,/shop/2602468,2602468,川菜,朝阳区东三环中路39号建外SOHO东区8号楼3楼 59003541,川菜 婚宴酒店 国贸,村童烤兔腿 毛血旺 两江麻辣鱼,80,8.1,8.1,7.9,745,116.46769,39.912045
印巷小馆(亚运村店) 分店,/shop/5861540,5861540,北京菜,朝阳区安慧里四区15号楼1楼 64953838,家常菜 亚运村,金包咖喱鸡 甜汁爆鲜虾 印巷红盖,70,8.6,8.7,8.4,745,116.42038,39.995785
那家小馆(鲁谷南路店) 分店,/shop/5963563,5963563,北京菜,石景山区鲁谷南路 52400255,官府菜 婚宴酒店 鲁谷,秘制酥皮虾 世宁土豆泥 皇坛子,110,9.1,9.4,9.3,744,116.225876,39.906284
