name,url,id,type,address,label,feature,price,comment1,comment2,comment3,comment_count,lng,lat
新辣道鱼火锅(航天万源店) 分店,/shop/4678764,4678764,火锅,丰台区东高地万源西里航天万源广场4楼 88030861,鱼火锅 丰台其它,梭边鱼 蟹粉丸子 虾丸,82,8.3,8.5,8.1,137,116.43123,39.807133
小肥羊(良乡店) 分店,/shop/510626,510626,火锅,房山区房山区良乡西潞南大街18号 69381988,其他火锅,涮羊肉 肥牛 宽粉,60,8.2,7.5,7.6,137,116.142136,39.730667
天津来子熏鸡店(陶然亭店) 分店,/shop/2089498,2089498,小吃快餐,西城区太平街陶然亭公园北门西100米路南 81117509,熟食 食品茶酒 虎坊桥,熏鸡 鹌鹑蛋 豆皮,28,8.5,6.8,7.6,137,116.387,39.88493
蜀香阁,/shop/585057,585057,川菜,海淀区东北旺西路中关村软件园汉王大厦1楼 82786988,川菜 婚宴酒店 上地,水煮鱼 口水鸡 川北凉粉,44,6.7,6.5,6,137,116.30403,40.053486
麦当劳(西单明珠店) 分店,/shop/2844637,2844637,小吃快餐,西城区横二条59号西单明珠商场B1楼 66024595,快餐/简餐 西单,麦辣鸡腿汉堡 甜筒 薯条,25,7.9,7.5,7.7,137,116.3827,39.916058
肯德基(西客站店) 分店,/shop/2614729,2614729,小吃快餐,丰台区莲花池东路118号北京西站候车室内 51933472,快餐/简餐 六里桥/丽泽桥,新奥尔良烤鸡腿堡 圣代 皮蛋瘦肉粥,26,6.7,6.3,6.3,137,116.3279,39.902225
肯德基(大悦城店) 分店,/shop/2807206,2807206,小吃快餐,西城区西单北大街甲131号西单大悦城内 59716359,快餐/简餐 西单,奥尔良烤鸡腿堡 原味鸡 蛋挞,32,8.2,8.1,8.2,137,116.378944,39.917526
晋宝章大同刀削面(月坛店) 分店,/shop/3667828,3667828,小吃快餐,西城区月坛北街甲1号楼底商 68058116,山西菜 粉面馆 月坛,传统猪肉刀削面 卤蛋 西红柿鸡蛋面,19,8.3,7.3,7.3,137,116.362,39.92444
和你槑玩槑了(朝外SOHO店) 分店,/shop/3169168,3169168,小吃快餐,朝阳区朝阳门外大街乙6号朝外SOHOB座6楼0660号 58694132,零食 食品茶酒 朝外大街,芒果干 梅方片 梅花落,27,8.4,7.8,8.3,137,116.46125,39.925335
合利屋快餐(人民大学店) 分店,/shop/2435746,2435746,小吃快餐,海淀区中关村大街59号人民大学东区食堂2楼 62510606,快餐/简餐 双榆树,烤鸡肉饭 合利屋套餐 双拼饭,22,6.7,6.6,6.7,137,116.323845,39.974842
福成肥牛(机场店) 分店,/shop/571578,571578,火锅,朝阳区机场宿舍区南平街12号 64584687,其他火锅 首都机场,羊肉 牛肉 牛肉火烧,69,7.9,7.9,7.8,137,116.61069,40.0517
东北老家,/shop/512308,512308,东北菜,海淀区新街口外大街21号 62250866,东北菜 北太平庄,风味茄子 锅包肉 脊骨炖酸菜,33,6.1,6,5.5,137,116.377235,39.96326
船工号子(顺义新世界店) 分店,/shop/4220029,4220029,川菜,顺义区顺义区新顺南大街18号新世界百货2楼 ,川菜,麻辣香锅 毛血旺 水煮鱼,56,7.5,7.9,7.3,137,116.65791,40.13312
茶物语PIZZA奶茶店(建外SOHO店) 分店,/shop/9035266,9035266,小吃快餐,朝阳区东三环中路39号建外SOHO东区9号楼底商0907室 59000549,甜品饮品 其他小吃 国贸,至尊披萨 盆栽奶茶 北海道之恋,21,8.5,8.5,9,137,116.46769,39.91204
巴拉那巴西烤肉(六里桥店) 分店,/shop/3928288,3928288,小吃快餐 自助餐,丰台区西三环南路10号亿客隆电脑城西侧 63333303,自助餐 烧烤 六里桥/丽泽桥,烤鸡翅 培根卷 烤菠萝,58,6.8,7.5,7.1,137,116.31865,39.88628
钟氏1+2煎饼,/shop/508391,508391,小吃快餐,西城区永安路 ,其他小吃 虎坊桥,煎饼 紫米煎饼 绿豆煎饼,4,7.3,4.7,6.5,136,116.394646,39.892452
